age_Ga,Neukum,Cui2024,Yue2026,Neukum_plus_CE6L,Cui2024_plus_CE6L,Yue2026_plus_CE6L
0.9,0.00075420002776153,0.0006886800125833845,0.0006639300036103047,0.0007937217853901403,0.0007352514585968028,0.0006778760478092963
0.905,0.0007583900287422448,0.000692506013045089,0.000667618503750193,0.0007981313546371014,0.0007393361889846524,0.0006816420260074188
0.91,0.0007625800297575367,0.0006963320135237081,0.0006713070038954956,0.0008025409240305815,0.0007434209193753563,0.0006854080042124544
0.915,0.0007667700308086254,0.0007001580140198613,0.0006749955040464221,0.0008069504935752907,0.0007475056497690266,0.0006891739824246672
0.92,0.0007709600318967724,0.0007039840145341913,0.0006786840042031903,0.0008113600632760912,0.00075159038016578,0.0006929399606443314
0.925,0.0007751500330232847,0.0007078100150673638,0.0006823725043660264,0.0008157696331380013,0.0007556751105657379,0.0006967059388717314
0.93,0.0007793400341895147,0.000711636015620069,0.000686061004535165,0.0008201792031662001,0.0007597598409690262,0.0007004719171071625
0.935,0.0007835300353968629,0.0007154620161930229,0.00068974950471085,0.0008245887733660341,0.0007638445713757762,0.0007042378953509314
0.9400000000000001,0.0007877200366467788,0.0007192880167869668,0.0006934380048933351,0.0008289983437430209,0.0007679293017861239,0.0007080038736033567
0.9450000000000001,0.0007919100379407635,0.0007231140174026699,0.0006971265050828832,0.0008334079143028558,0.0007720140322002107,0.0007117698518647688
0.9500000000000001,0.0007961000392803705,0.0007269400180409295,0.000700815005279768,0.0008378174850514174,0.000776098762618184,0.0007155358301355107
0.9550000000000001,0.0008002900406672086,0.0007307660187025716,0.0007045035054842731,0.0008422270559947728,0.0007801834930401965,0.0007193018084159389
0.96,0.0008044800421029428,0.0007345920193884531,0.0007081920056966937,0.0008466366271391846,0.0007842682234664072,0.0007230677867064229
0.965,0.000808670043589297,0.000738418020099462,0.0007118805059173361,0.0008510461984911166,0.0007883529538969813,0.0007268337650073473
0.97,0.0008128600451280562,0.0007422440208365189,0.0007155690061465186,0.0008554557700572404,0.0007924376843320903,0.0007305997433191101
0.975,0.0008170500467210678,0.0007460700216005778,0.0007192575063845716,0.000859865341844442,0.0007965224147719129,0.0007343657216421256
0.98,0.0008212400483702449,0.0007498960223926281,0.0007229460066318386,0.0008642749138598288,0.0008006071452166343,0.0007381316999768233
0.985,0.0008254300500775672,0.0007537220232136954,0.0007266345068886759,0.0008686844861107369,0.0008046918756664474,0.0007418976783236494
0.99,0.0008296200518450854,0.0007575480240648424,0.0007303230071554542,0.0008730940586047379,0.0008087766061215522,0.0007456636566830669
0.995,0.0008338100536749213,0.0007613740249471714,0.0007340115074325584,0.0008775036313496471,0.0008128613365821573,0.0007494296350555567
1.0,0.0008380000555692725,0.0007652000258618246,0.000737700007720388,0.000881913204353531,0.0008169460670484789,0.0007531956134416178
1.0050000000000001,0.0008421900575304133,0.0007690260268099862,0.0007413885080193581,0.0008863227776247152,0.0008210307975207421,0.0007569615918417686
1.01,0.0008463800595606986,0.0007728520277928838,0.0007450770083298997,0.0008907323511717933,0.0008251155279991801,0.000760727570256547
